h3_8,año_hecho,umap_1,umap_2
88499581b3fffff,2016,8.396138,7.270108
88499581b3fffff,2018,7.670595,1.886665
88499581b3fffff,2019,8.319095,5.2763095
88499581b3fffff,2020,7.4932103,4.8874063
88499581b3fffff,2022,11.626748,6.8502846
88499581b9fffff,2016,11.533976,2.975987
88499581b9fffff,2017,9.540569,7.2117677
88499581b9fffff,2018,11.430884,3.388078
88499581b9fffff,2019,7.193477,5.4612045
88499581b9fffff,2020,10.820273,2.0909448
88499581b9fffff,2021,7.178605,3.6773655
88499581b9fffff,2022,7.9356337,7.426075
88499581b9fffff,2023,11.772938,3.9728482
88499581b9fffff,2024,8.140502,7.308738
88499581bbfffff,2016,10.878212,3.3130138
88499581bbfffff,2017,8.192492,2.5316079
88499581bbfffff,2018,9.5156,3.7308292
88499581bbfffff,2019,9.0061,4.6306853
88499581bbfffff,2020,11.092183,3.8034072
88499581bbfffff,2021,11.547801,2.9921172
88499581bbfffff,2022,11.913261,3.1845539
88499581bbfffff,2023,11.357809,3.6582415
88499581bbfffff,2024,9.559116,3.4574304
88499581c1fffff,2018,10.23894,0.1420314
88499581c1fffff,2019,11.414597,2.8164015
88499581c1fffff,2020,5.9823933,0.10382015
88499581c1fffff,2021,7.8055234,0.27954587
88499581c1fffff,2022,12.88118,4.425467
88499581c3fffff,2019,5.862348,2.41058
88499581c3fffff,2020,12.062506,4.129901
88499581c3fffff,2023,11.859258,6.1704254
88499581c7fffff,2017,8.967304,3.6667366
88499581c7fffff,2018,6.987912,2.3772535
88499581c7fffff,2019,10.184865,1.2628772
88499581c7fffff,2020,7.7175393,0.7187632
88499581c7fffff,2021,8.137724,7.333367
88499581c7fffff,2022,7.584629,6.7267437
88499581cdfffff,2016,7.417133,2.5803287
88499581cdfffff,2018,11.762295,2.342028
88499581cdfffff,2019,7.109825,4.030786
88499581cdfffff,2021,7.2864046,3.6853461
88499581cdfffff,2022,8.650189,7.2940173
88499581cdfffff,2024,11.891215,5.2771864
88499581d3fffff,2018,6.5704813,1.7319409
88499581d3fffff,2019,6.0355124,0.41791627
