h3_8,año_hecho,umap_1,umap_2
88499581b1fffff,2020,7.2246943,8.379343
88499581b1fffff,2021,6.191966,9.092133
88499581b1fffff,2022,7.04459,6.4503994
88499581b1fffff,2023,7.3511505,6.8639436
88499581b1fffff,2024,5.141394,4.4537687
88499581b3fffff,2016,6.442546,7.3495684
88499581b3fffff,2018,5.579746,8.517472
88499581b3fffff,2019,2.7698762,5.439478
88499581b3fffff,2020,4.332032,4.94855
88499581b3fffff,2022,6.7111573,6.3431797
88499581b9fffff,2016,2.7767951,7.187985
88499581b9fffff,2017,6.9724555,5.91198
88499581b9fffff,2018,2.9445891,6.905936
88499581b9fffff,2019,6.6731796,5.393257
88499581b9fffff,2020,5.4760914,7.666314
88499581b9fffff,2021,4.4365025,7.130715
88499581b9fffff,2022,2.5089574,5.3171654
88499581b9fffff,2023,3.5111663,5.803744
88499581b9fffff,2024,5.750217,4.993704
88499581bbfffff,2016,3.7096705,6.9731016
88499581bbfffff,2017,4.0405207,7.8199487
88499581bbfffff,2018,3.341594,7.187117
88499581bbfffff,2019,4.328873,6.433805
88499581bbfffff,2020,2.9207911,6.6890635
88499581bbfffff,2021,5.3942013,5.412513
88499581bbfffff,2022,6.5642776,7.9035535
88499581bbfffff,2023,3.0932763,7.0587597
88499581bbfffff,2024,5.9875274,6.3153687
88499581c1fffff,2018,5.834399,7.6178174
88499581c1fffff,2019,6.6588335,6.484193
88499581c1fffff,2020,7.6879587,4.687691
88499581c1fffff,2021,5.451462,7.5697083
88499581c1fffff,2022,7.359361,7.0556383
88499581c3fffff,2019,8.37727,6.4680595
88499581c3fffff,2020,6.80848,5.72178
88499581c3fffff,2023,7.330085,6.8657937
88499581c7fffff,2017,3.6916866,8.421043
88499581c7fffff,2018,7.0049706,7.1922655
88499581c7fffff,2019,3.8036165,8.340978
88499581c7fffff,2020,7.6208997,6.731982
88499581c7fffff,2021,6.0351048,6.780882
88499581c7fffff,2022,5.8448057,7.9918203
88499581cdfffff,2016,7.658057,6.954013
88499581cdfffff,2018,5.7244496,6.7472434
88499581cdfffff,2019,6.033249,6.447427
88499581cdfffff,2021,4.90655,6.6237273
88499581cdfffff,2022,6.095418,6.8232136
88499581cdfffff,2024,6.5183883,5.2259684
88499581d3fffff,2018,7.763,5.734005
88499581d3fffff,2019,7.7241306,4.367615
88499581d3fffff,2020,5.8506613,6.5914483
88499581d3fffff,2021,7.7955127,3.7789838
88499581d3fffff,2022,8.336901,6.034655
88499581d5fffff,2018,4.586225,4.8930697
88499581d5fffff,2019,5.6991587,6.529844
88499581d5fffff,2020,6.1399274,5.298973
88499581d5fffff,2023,7.89587,6.7784343
88499581d7fffff,2016,6.459994,7.411365
88499581d7fffff,2017,5.358805,8.388838
88499581d7fffff,2018,6.232582,6.165746
88499581d7fffff,2019,7.732001,3.7662096
88499581d7fffff,2020,6.0453377,6.3171062
88499581d7fffff,2021,7.079057,6.713638
88499581d7fffff,2022,7.7889376,3.9761453
88499581d7fffff,2023,7.5218115,6.401225
88499582bbfffff,2018,7.6037354,7.347298
88499582bbfffff,2019,7.7745614,5.029055
88499582bbfffff,2022,4.906631,8.526423
8849958401fffff,2016,4.6789517,9.218327
8849958401fffff,2017,5.8524218,9.235372
8849958401fffff,2018,5.0526724,9.489923
8849958401fffff,2019,4.661028,9.389326
8849958401fffff,2020,5.0251813,6.0353475
8849958401fffff,2021,4.7601824,5.6564994
8849958401fffff,2022,5.954527,9.308193
8849958401fffff,2023,4.894696,9.758336
8849958401fffff,2024,6.06638,6.005058
8849958403fffff,2016,6.1136594,8.7826605
8849958403fffff,2017,5.2288575,8.387494
8849958403fffff,2018,5.641808,7.082143
8849958403fffff,2019,6.2411966,8.139459
8849958403fffff,2020,6.5280976,6.9620857
8849958403fffff,2021,6.678943,7.577368
8849958403fffff,2022,2.6182487,6.0222654
8849958403fffff,2023,6.4234486,5.6639895
8849958403fffff,2024,6.5108514,6.1447926
8849958405fffff,2016,5.551771,6.399528
8849958405fffff,2017,3.3145616,5.6765447
8849958405fffff,2018,4.5119023,4.4872766
