h3_8,max_cp_prob,bocpd_cp_year,p_2016,p_2017,p_2018,p_2019,p_2020,p_2021,p_2022,p_2023,p_2024,has_bocpd_cp
884995843dfffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.15,False
8849958441fffff,0.15000000000000008,2022,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000002,0.15000000000000002,False
8849958443fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15,0.15,0.15,0.15,0.15000000000000002,0.15000000000000002,False
8849958445fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15,0.15,False
8849958447fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,False
8849958449fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15,0.15,0.15000000000000008,False
884995844bfffff,0.15000000000000008,2024,0.14999999999999997,0.15,0.15,0.14999999999999997,0.15,0.15,0.15,0.15000000000000002,0.15000000000000008,False
8849958451fffff,0.15000000000000008,2021,0.15,0.15,0.15,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15,,False
8849958455fffff,0.1500000000000001,2023,0.14999999999999997,0.15,0.15000000000000008,0.15000000000000002,0.15000000000000002,0.15,0.15,0.1500000000000001,0.15,False
8849958457fffff,0.15000000000000008,2021,0.15,0.15000000000000002,0.14999999999999997,0.15000000000000002,0.15,0.15000000000000008,0.15,0.15000000000000008,0.15000000000000002,False
8849958459fffff,0.15000000000000013,2024,,,0.15,0.15000000000000008,0.15000000000000002,,0.15000000000000008,0.15000000000000008,0.15000000000000013,False
884995845bfffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15,0.15,0.15000000000000002,0.15000000000000008,0.15000000000000008,0.15000000000000008,False
884995845dfffff,0.15000000000000008,2018,0.15,0.14999999999999997,0.15000000000000008,0.15000000000000008,0.15000000000000002,0.15000000000000002,0.15000000000000008,0.15000000000000008,0.15000000000000002,False
8849958461fffff,0.15000000000000002,2017,,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,,,0.15000000000000002,False
8849958463fffff,0.15000000000000008,2021,0.15,0.15,0.15,0.14999999999999997,0.15,0.15000000000000008,0.15000000000000008,0.15000000000000008,0.15000000000000002,False
8849958465fffff,0.15000000000000002,2022,0.15,0.15,0.15,0.15,0.15,0.14999999999999997,0.15000000000000002,,,False
8849958467fffff,0.15000000000000002,2020,0.15,0.15,0.15,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,False
8849958469fffff,0.15000000000000008,2021,,,0.14999999999999997,0.15,0.15,0.15000000000000008,0.15000000000000008,,0.15,False
884995846dfffff,0.15000000000000013,2019,0.15,0.15,0.15000000000000002,0.15000000000000013,,,,,,False
8849958481fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,False
8849958485fffff,0.15000000000000008,2017,0.15000000000000002,0.15000000000000008,0.14999999999999997,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15,0.15,False
8849958487fffff,0.15,2016,0.15,0.15,0.15,0.15,0.15,,0.15,0.15,,False
8849958489fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.14999999999999997,0.15000000000000008,False
884995848bfffff,0.15000000000000002,2017,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,0.15,0.15,0.15,False
884995848dfffff,0.15000000000000008,2021,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000008,0.15,False
8849958491fffff,0.15000000000000008,2017,0.15,0.15000000000000008,0.15,0.15,0.15,,0.15,,0.15000000000000002,False
8849958493fffff,0.15000000000000008,2024,0.14999999999999997,0.15,0.15,0.15000000000000002,0.15,0.15,0.15,0.15,0.15000000000000008,False
8849958495fffff,0.15000000000000008,2023,0.15000000000000002,0.14999999999999997,0.15,0.15,0.15,,0.15000000000000002,0.15000000000000008,,False
8849958497fffff,0.15000000000000008,2020,,0.15000000000000002,0.15000000000000002,0.15,0.15000000000000008,0.15,,,,False
8849958499fffff,0.15000000000000008,2021,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15,0.15000000000000008,0.15000000000000008,,0.15000000000000002,False
884995849bfffff,0.15000000000000008,2019,,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15,0.15000000000000002,0.15,0.15,False
884995849dfffff,0.15000000000000008,2024,,,0.15,,0.15,0.15,0.15,0.15,0.15000000000000008,False
88499584a1fffff,0.15000000000000008,2020,0.15,0.14999999999999994,0.15,0.15000000000000002,0.15000000000000008,0.15,0.15000000000000002,0.15000000000000002,0.15,False
88499584a3fffff,0.15000000000000002,2017,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15,0.15000000000000002,0.15000000000000002,0.15,0.15,False
88499584a5fffff,0.15000000000000008,2024,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15000000000000008,False
88499584a7fffff,0.15000000000000008,2016,0.15000000000000008,0.15000000000000008,0.15,0.15,0.15000000000000008,0.15000000000000002,0.15,0.15000000000000002,0.15000000000000002,False
88499584a9fffff,0.15000000000000002,2019,0.15,0.15,0.14999999999999997,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15000000000000002,0.15,False
88499584abfffff,0.15000000000000008,2022,0.14999999999999994,0.15,0.15,0.15,0.15,0.15,0.15000000000000008,0.15,0.15000000000000008,False
88499584adfffff,0.15000000000000013,2021,0.15,0.15,0.15,0.14999999999999997,0.15,0.15000000000000013,0.15,0.15000000000000002,0.15000000000000008,False
88499584b1fffff,0.15000000000000002,2019,0.14999999999999997,0.15,0.15,0.15000000000000002,0.15,0.14999999999999997,0.15,0.15,0.15000000000000002,False
88499584b3fffff,0.15000000000000008,2018,0.15,0.15,0.15000000000000008,0.15000000000000008,0.15,0.15000000000000008,0.15,0.15000000000000002,0.15,False
