h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8,z_9,z_10,z_11,z_12,z_13,z_14,z_15,z_16
8849958083fffff,2021,0.08837962,1.1503298,-1.4422314,2.7453108,-0.93640715,0.005034718,-0.46905127,0.28126702,-0.7039854,1.1189758,-0.9759838,-0.6590942,-1.4058743,-0.70089465,-0.38442954,1.1311436
8849958083fffff,2022,-1.5567957,-0.32825732,-1.9614879,2.0096693,0.51157403,-1.2099023,-0.20497574,1.6350008,0.19172333,-0.3315782,0.33743262,0.6429879,-1.3183745,-1.3153195,-0.011490827,-0.4373535
8849958083fffff,2024,0.3992493,0.9138397,0.13558926,2.1012843,-0.721353,0.06721815,-0.49455684,-0.071818575,-0.3922187,1.4546766,-0.50525886,0.35085514,-1.0126615,0.034474812,0.79686695,-1.3982464
8849958087fffff,2016,-0.89148396,0.3962806,-1.1898462,0.39989716,0.501573,0.3442581,-1.4921438,-0.6666516,0.86733955,0.5241347,-0.74733466,-0.84357274,-2.0597346,0.44397622,0.17154191,-0.21932596
8849958087fffff,2017,-1.7893991,0.15507811,-0.1655293,0.39010957,-0.4722076,0.043722827,-1.0606829,0.021085646,-0.18339357,-0.6134746,-0.055602808,-1.233359,-0.7039887,0.4789211,0.055832874,-0.3445548
8849958087fffff,2018,-1.6333908,0.3881675,-0.6821405,0.79547834,-0.1737136,0.03746443,-0.5617185,0.35665435,0.4347618,-0.25690752,-0.72636086,0.06487832,-0.2557302,0.06356202,-0.61828375,0.109600306
8849958087fffff,2019,-2.0591204,1.3709649,-0.5162084,0.7911982,-0.70141655,0.6807878,-0.8888186,-0.11389599,0.37815115,-1.0469385,0.09558372,-1.2162524,-0.84030116,0.7521467,-0.96624196,0.6192549
8849958087fffff,2020,-0.18308707,1.959937,-1.0215894,1.3555421,-1.1759251,-1.2647903,0.34775978,0.47598448,0.16416831,0.94081473,-1.0177972,0.8905361,-2.771035,-0.23582621,-0.6423021,-0.47641078
8849958087fffff,2021,-0.6859361,0.75891167,-1.7959337,0.4975925,-0.6440639,0.83770776,-1.016083,2.6226084,0.61978215,0.11307942,0.90646046,0.85240024,-1.0395355,0.30525628,-0.16990921,0.40386453
8849958087fffff,2022,-0.526953,0.1401193,-1.2894621,1.4147946,0.5112245,0.67342603,0.36916843,0.06554747,-0.039650146,0.29828754,0.5531136,-0.398149,-0.9078817,-0.685771,1.0759373,-0.9785796
8849958087fffff,2023,-1.2630488,0.48512954,-2.2775717,1.7198896,-1.0004504,-0.33565265,-0.6910081,-1.3092872,-0.019773468,-0.56490636,-0.34303766,0.6237615,-2.4589312,0.38065118,-0.036403168,-0.27386016
8849958087fffff,2024,-1.1028041,2.5918403,-1.2627856,2.1391969,-0.5025655,-0.8906106,-0.0874251,0.66657907,1.4310503,0.37448728,0.34109414,-0.5214964,-1.077415,-0.658264,1.1094815,0.3228354
884995808bfffff,2016,-0.28506994,0.9900638,-1.0977874,2.89909,-0.20769875,1.0675964,0.10067508,0.041912887,-0.069990344,-0.6224667,0.11199896,-0.96379906,-1.1577543,0.4134884,0.30375236,-0.008102933
884995808bfffff,2017,-1.4051937,1.1954325,-0.5711114,1.503852,-1.7212315,0.6628568,-1.2769526,1.391528,-0.77818066,-1.8748015,0.3549877,-0.68192136,-0.34921604,1.6013947,-0.9320631,-0.009066706
884995808bfffff,2018,-1.0241982,-0.05935511,0.07108364,1.297578,-0.80632424,-0.25426677,-1.6429671,0.5329456,0.34507257,-0.9806088,0.7885908,0.2668422,-0.0136573715,-0.042287488,-1.2864203,0.5310967
884995808bfffff,2019,-0.27497476,0.47321442,-1.5220462,1.0336963,0.119431525,-1.8060675,-1.1782832,1.2301391,0.30992526,-0.66420305,-0.73594654,-0.09642619,-1.2404572,-0.46586424,-0.33093375,-0.26751202
884995808bfffff,2020,0.10399594,2.3090994,-0.9117623,1.9151382,0.27763292,-0.7235305,0.013705429,-0.098326296,0.09664529,0.59559345,0.19491892,-1.0132562,-1.3427565,0.14816527,-0.30599904,1.8821325
884995808bfffff,2021,-0.5316761,-0.11115804,-1.3612101,0.7811327,-0.56803596,0.032177296,-0.0673744,1.23581,-0.15362701,0.37142298,-0.3107529,-0.15060669,-2.3140812,0.4683833,0.7087649,-0.52455467
884995808bfffff,2022,-1.419481,0.4695983,-1.5690011,1.5413083,-0.35775304,-0.26312432,-1.7473613,1.1959167,0.20580454,-1.6805636,0.08210657,-0.6650008,-0.99181724,0.2084404,0.4461372,-1.1461511
884995808bfffff,2023,-1.067147,1.3682848,-2.5043128,1.9505367,0.022766108,-0.08389127,0.400726,-0.357201,0.24654925,-0.80383956,0.5751388,-1.4631251,-2.188712,-1.3398126,0.07462899,0.99406755
8849958091fffff,2016,-0.2195458,0.8929683,-2.7301662,3.016182,1.9158856,-0.36933625,0.47091734,-0.54569006,-0.8919248,1.1685678,3.0829265,-1.0273408,-2.0981286,0.11704513,0.92672235,3.6264265
8849958091fffff,2018,-1.5091339,0.9753961,-1.3015748,1.4535909,-0.99301237,-0.773899,0.0772902,0.485835,0.52666694,0.7414617,-1.7352054,1.1346514,-1.4078076,-1.2166524,-0.4503182,-0.689875
8849958091fffff,2019,-1.3533386,-0.50741976,-1.7008998,2.1433616,0.8008279,1.6805377,0.6812105,-0.3776156,2.3095732,-0.49958903,-0.8234504,-0.031018103,-2.2115278,-1.8403878,-0.25308985,-1.1747146
8849958091fffff,2020,-2.2652252,-1.0423994,-2.4384408,2.8877861,0.20702684,0.6775492,1.3000252,-0.9042016,0.45291078,0.6801279,-1.594334,-0.95286804,-1.8214068,0.40159914,1.9734209,0.7823629
