h3_8,n_años,año_inicio,año_fin,tipo,n_cambios,n_clusters,cluster_inicio,cluster_fin,path_length_ae,net_disp_ae,drift_idx,max_step_ae,path_length_umap,net_disp_umap,is_atipica,secuencia,años
884995ba09fffff,9,2016,2024,fragmentada,7,5,2,2,15.660994891112544,2.2388901640870262,0.14295963823840935,3.3463196474722205,19.620176736763135,1.6128757418551816,False,"2,2,4,2,3,1,3,0,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba0bfffff,9,2016,2024,fragmentada,5,4,2,4,14.379436792362348,2.5247006471320983,0.17557715810351457,3.009618615095647,15.636783603113813,2.8945212919107037,False,"2,2,4,4,1,1,0,2,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba0dfffff,9,2016,2024,fragmentada,7,4,2,2,20.48196575122305,1.9509597489412458,0.09525256377429238,4.285362341900325,21.6722327585519,0.9335999031689106,False,"2,1,1,2,1,2,3,0,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba11fffff,9,2016,2024,fluctuante,7,3,4,3,29.923341679310706,3.9634509469289925,0.13245348696029366,5.749136784118988,24.21698019006897,3.1988320406628987,False,"4,0,4,3,4,3,4,4,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba15fffff,9,2016,2024,fragmentada,4,4,2,2,19.41811804876701,1.2317410778743916,0.0634325671921952,4.018244446315392,14.575063034421571,0.22238168778973164,False,"2,2,1,1,1,3,4,2,2","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba19fffff,9,2016,2024,fragmentada,6,5,2,3,16.32359450520743,3.293986420958806,0.20179295803433386,2.9200601825185895,16.75409526650919,4.9335629368564895,False,"2,4,3,1,1,1,3,0,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba1dfffff,9,2016,2024,fluctuante,3,3,2,4,14.50106939177172,2.884257486952516,0.19889964036646277,2.4845719471404575,16.501207416105295,3.189551502211362,False,"2,4,4,4,1,4,4,4,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba21fffff,9,2016,2024,fluctuante,5,3,3,0,14.69926434464632,1.860052650166576,0.1265405265566255,3.0191037574241752,18.95018859267833,5.615179561723606,False,"3,4,4,4,3,3,0,3,0","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba23fffff,9,2016,2024,fluctuante,3,3,4,4,17.705558723423966,2.552151811338122,0.14414409910497178,3.758951193248207,26.49410065976104,3.0397605346785808,False,"4,4,4,4,0,1,4,4,4","2016,2017,2018,2019,2020,2021,2022,2023,2024"
884995ba25fffff,9,2016,2024,fluctuante,3,3,4,3,18.08598446926638,2.2818440126011277,0.12616642552572568,3.3547893635447585,17.359256380670203,2.6932012534952623,False,"4,4,4,4,1,4,4,4,3","2016,2017,2018,2019,2020,2021,2022,2023,2024"
