h3_8,año_hecho,umap_1,umap_2
88499581bbfffff,2019,11.954227,2.6471953
88499581bbfffff,2020,12.24538,1.3351223
88499581bbfffff,2021,10.575759,1.5882214
88499581bbfffff,2022,12.398974,2.4460762
88499581bbfffff,2023,11.949428,2.8144054
88499581bbfffff,2024,12.158388,2.4347146
88499581c1fffff,2018,10.703362,3.994939
88499581c1fffff,2019,9.975905,1.8317038
88499581c1fffff,2020,13.904698,-0.15474069
88499581c1fffff,2021,12.873701,4.5110574
88499581c1fffff,2022,9.878835,4.349137
88499581c3fffff,2019,14.697284,1.5252687
88499581c3fffff,2020,10.305669,4.7872214
88499581c3fffff,2023,11.215861,5.158481
88499581c7fffff,2017,13.464259,3.02469
88499581c7fffff,2018,10.58826,4.1444826
88499581c7fffff,2019,13.225788,3.4517522
88499581c7fffff,2020,14.433528,2.1969438
88499581c7fffff,2021,10.6721735,3.6151013
88499581c7fffff,2022,11.949011,3.6359937
88499581cdfffff,2016,11.657766,3.4262822
88499581cdfffff,2018,11.408973,3.8045225
88499581cdfffff,2019,9.595962,3.3655384
88499581cdfffff,2021,10.97959,3.387086
88499581cdfffff,2022,10.045577,3.9619608
88499581cdfffff,2024,9.270496,2.2758844
88499581d3fffff,2018,13.390298,1.3164849
88499581d3fffff,2019,13.788808,-0.66189694
88499581d3fffff,2020,10.973606,1.2977984
88499581d3fffff,2021,13.7582655,-0.96361727
88499581d3fffff,2022,14.424698,1.2911209
88499581d5fffff,2018,13.451473,2.5378213
88499581d5fffff,2019,12.83197,3.7483993
88499581d5fffff,2020,10.516218,3.3403876
88499581d5fffff,2023,14.759211,1.4927725
88499581d7fffff,2016,9.340164,3.6916432
88499581d7fffff,2017,14.107909,4.220725
88499581d7fffff,2018,11.856799,2.7517517
88499581d7fffff,2019,13.757695,-0.90940064
88499581d7fffff,2020,11.141195,3.742199
88499581d7fffff,2021,10.60436,2.4313173
88499581d7fffff,2022,13.650632,-0.80315936
88499581d7fffff,2023,11.893008,3.8821862
88499582bbfffff,2018,10.445157,4.4971285
88499582bbfffff,2019,13.922144,0.34246257
88499582bbfffff,2022,12.457608,3.9561613
8849958401fffff,2016,14.106976,4.9069037
8849958401fffff,2017,12.826609,5.5627375
8849958401fffff,2018,14.220651,5.220951
8849958401fffff,2019,14.149579,5.2011676
8849958401fffff,2020,11.044859,4.3253326
8849958401fffff,2021,10.216526,1.2405864
8849958401fffff,2022,14.696443,4.360976
8849958401fffff,2023,13.579448,5.4826617
8849958401fffff,2024,9.640652,1.2237701
8849958403fffff,2016,11.868947,5.082842
8849958403fffff,2017,12.712261,4.472423
8849958403fffff,2018,13.027686,2.1076405
8849958403fffff,2019,12.001863,4.4092727
8849958403fffff,2020,12.160945,3.61238
8849958403fffff,2021,10.207686,3.5714984
8849958403fffff,2022,11.027176,1.6717296
8849958403fffff,2023,10.184936,1.9788656
8849958403fffff,2024,9.336018,2.521223
8849958405fffff,2016,9.971156,3.0528948
8849958405fffff,2017,11.231104,1.3007058
8849958405fffff,2018,10.4978895,0.10978224
8849958405fffff,2019,14.313032,3.737096
8849958405fffff,2020,12.46733,1.8719481
8849958405fffff,2021,10.08855,1.1355653
8849958405fffff,2022,11.054042,-1.2282856
8849958405fffff,2023,11.191173,-0.06606472
8849958405fffff,2024,13.4595175,3.345795
8849958407fffff,2016,13.79516,1.4679017
8849958407fffff,2017,10.112157,4.1110597
8849958407fffff,2018,9.802529,1.7288215
8849958407fffff,2019,9.981169,2.3899112
8849958407fffff,2020,12.370109,3.1796997
8849958407fffff,2021,12.324792,0.013185748
8849958407fffff,2022,9.293554,2.2621927
8849958407fffff,2023,13.376107,2.62536
8849958407fffff,2024,13.62087,3.0884228
8849958409fffff,2016,12.308863,5.268095
8849958409fffff,2017,12.589361,4.3485274
8849958409fffff,2018,11.522932,1.2387794
8849958409fffff,2019,12.099799,3.9617383
8849958409fffff,2020,12.276657,5.637665
8849958409fffff,2021,11.130459,0.83512706
8849958409fffff,2022,11.164932,3.4247177
8849958409fffff,2023,10.900355,1.1524849
8849958409fffff,2024,14.364259,5.2830234
884995840bfffff,2016,13.20653,3.977777
884995840bfffff,2017,13.566335,5.5504045
884995840bfffff,2018,10.358264,0.62212795
884995840bfffff,2019,13.311773,2.8432798
884995840bfffff,2020,13.436848,5.499103
884995840bfffff,2021,11.705239,1.3849573
884995840bfffff,2022,9.983663,4.3017745
884995840bfffff,2023,10.379798,3.3873768
884995840bfffff,2024,13.156807,2.373955
884995840dfffff,2016,13.578065,4.3344674
884995840dfffff,2017,12.523599,4.3493447
884995840dfffff,2018,12.44688,5.1302643
884995840dfffff,2019,10.843169,4.735831
884995840dfffff,2020,13.532575,2.7701652
884995840dfffff,2022,13.501412,2.6547213
884995840dfffff,2023,9.890438,1.8960792
8849958411fffff,2016,14.05706,5.2703257
8849958411fffff,2017,13.215745,4.821255
8849958411fffff,2018,10.013303,0.949891
8849958411fffff,2019,9.494149,0.8360094
8849958411fffff,2020,13.564014,4.4592814
8849958411fffff,2021,13.483834,4.4018855
8849958411fffff,2022,11.386361,-0.952462
8849958411fffff,2023,9.579162,1.4157156
8849958411fffff,2024,13.894799,2.9681182
8849958415fffff,2016,13.802445,5.127813
8849958415fffff,2017,14.694039,4.3705425
8849958415fffff,2018,10.257316,1.9935727
8849958415fffff,2019,11.617412,2.5851204
8849958415fffff,2020,13.22879,5.226827
8849958415fffff,2021,13.658474,4.3694344
8849958415fffff,2022,10.235594,2.559669
8849958415fffff,2023,10.510683,4.3025694
8849958415fffff,2024,13.627767,4.8430657
8849958419fffff,2016,14.577052,4.365554
8849958419fffff,2017,13.596925,5.434847
8849958419fffff,2018,13.581826,5.5016108
8849958419fffff,2019,13.459212,5.193305
8849958419fffff,2020,14.252055,3.9010415
8849958419fffff,2021,13.144654,2.8176022
8849958419fffff,2022,13.806458,5.1842747
8849958419fffff,2023,11.294096,-1.3472213
8849958419fffff,2024,12.100385,5.5505643
884995841bfffff,2016,13.633624,5.5515194
884995841bfffff,2017,12.992409,5.63227
884995841bfffff,2018,9.935298,1.0242748
884995841bfffff,2019,9.0943775,0.79332954
884995841bfffff,2020,13.3974085,2.216825
884995841bfffff,2021,13.412588,2.736353
884995841bfffff,2022,11.179288,-1.3448174
884995841bfffff,2023,13.706865,5.3278184
884995841bfffff,2024,11.171216,-1.122207
884995841dfffff,2016,13.265297,4.449598
884995841dfffff,2017,12.698828,4.1572104
884995841dfffff,2018,10.946305,2.9038312
884995841dfffff,2019,12.046159,3.9830742
884995841dfffff,2020,12.5070715,2.3242962
884995841dfffff,2021,10.589765,3.7383542
884995841dfffff,2022,10.311556,3.0017078
884995841dfffff,2023,12.199059,1.7252727
884995841dfffff,2024,12.98318,3.494474
8849958421fffff,2016,11.713668,3.6427238
8849958421fffff,2017,13.506128,4.524454
8849958421fffff,2018,13.563506,1.0704348
8849958421fffff,2019,12.7481,3.5300896
8849958421fffff,2020,14.144954,4.848847
8849958421fffff,2021,13.051759,3.8359594
8849958421fffff,2022,12.316505,3.6260626
8849958421fffff,2023,11.339104,3.3338783
8849958421fffff,2024,13.847888,3.8970497
8849958423fffff,2016,12.052,3.7566032
8849958423fffff,2017,13.6193495,2.8711588
8849958423fffff,2018,10.6230135,2.1748734
8849958423fffff,2019,12.32049,1.9870706
8849958423fffff,2020,12.840198,4.199652
8849958423fffff,2021,12.107001,2.152567
8849958423fffff,2022,9.983712,3.609113
8849958423fffff,2023,12.432545,2.0209293
8849958423fffff,2024,10.42842,3.282413
8849958425fffff,2016,12.631074,4.4920874
8849958425fffff,2017,14.182011,4.0606475
8849958425fffff,2018,12.433534,1.969976
8849958425fffff,2019,14.342788,5.2874446
8849958425fffff,2020,11.485569,4.604075
8849958425fffff,2021,11.29126,3.6590395
8849958425fffff,2022,10.398196,2.4109142
8849958425fffff,2023,12.70013,5.005928
8849958425fffff,2024,13.732956,4.420786
8849958427fffff,2016,12.634142,3.257457
8849958427fffff,2017,12.300775,0.9276993
8849958427fffff,2018,11.729707,-0.32929748
8849958427fffff,2019,14.240025,4.1145735
8849958427fffff,2020,11.853872,2.69382
8849958427fffff,2021,11.102494,-1.1208346
8849958427fffff,2022,9.471434,1.4668981
8849958427fffff,2023,10.774814,0.81036294
8849958427fffff,2024,13.953518,3.9596612
8849958429fffff,2016,13.43875,4.3285093
8849958429fffff,2017,13.946709,3.9618263
8849958429fffff,2018,12.326958,1.0569767
8849958429fffff,2019,13.385895,5.2668633
8849958429fffff,2020,14.175214,4.566869
8849958429fffff,2021,11.217578,5.2246065
8849958429fffff,2022,12.414305,1.823282
8849958429fffff,2024,13.145943,2.0256774
884995842bfffff,2016,13.0894985,3.6016757
884995842bfffff,2017,11.117691,-0.8938842
884995842bfffff,2018,9.71286,1.6270684
884995842bfffff,2019,11.327357,2.7709808
884995842bfffff,2020,10.1418,2.1191425
884995842bfffff,2021,10.979624,2.5263767
884995842bfffff,2022,10.773219,1.4408118
884995842bfffff,2023,11.189435,2.3452868
884995842bfffff,2024,10.43077,2.0744946
884995842dfffff,2016,13.674862,4.2724414
884995842dfffff,2017,12.512805,5.481439
884995842dfffff,2018,13.773931,3.485848
884995842dfffff,2019,12.4201145,4.8659596
884995842dfffff,2020,13.99376,4.093326
884995842dfffff,2021,12.917018,4.1027794
884995842dfffff,2022,10.867615,2.7273557
884995842dfffff,2023,13.514049,4.168821
884995842dfffff,2024,13.822439,4.3710413
8849958431fffff,2016,12.338989,3.6586802
8849958431fffff,2017,13.472944,3.518797
8849958431fffff,2018,10.720451,2.5149786
8849958431fffff,2019,13.949617,3.6129305
8849958431fffff,2020,14.257953,4.2905717
8849958431fffff,2021,11.407002,1.3020355
8849958431fffff,2022,10.676221,2.9170032
8849958431fffff,2023,11.220223,3.2710514
8849958431fffff,2024,11.560331,3.5307689
8849958433fffff,2016,10.145477,3.2382367
8849958433fffff,2017,12.645909,3.2060764
8849958433fffff,2018,10.3387375,2.2217832
8849958433fffff,2019,12.991656,1.700161
8849958433fffff,2020,9.853331,2.6933346
8849958433fffff,2021,10.461239,2.294852
8849958433fffff,2022,10.048082,1.2309144
8849958433fffff,2023,11.770945,1.7435591
8849958433fffff,2024,11.313934,3.6492534
8849958435fffff,2016,12.065876,4.592388
8849958435fffff,2017,13.026524,4.0407057
8849958435fffff,2018,11.581213,1.82174
8849958435fffff,2019,13.629316,3.035976
8849958435fffff,2020,13.593466,1.5830303
8849958435fffff,2021,11.042212,3.2172992
8849958435fffff,2022,9.837255,2.9739203
8849958435fffff,2023,11.01672,3.2368724
8849958435fffff,2024,13.011478,4.04831
8849958437fffff,2016,13.45586,1.1078776
8849958437fffff,2017,12.892427,1.5060776
8849958437fffff,2018,9.834911,0.7114015
8849958437fffff,2019,11.106726,4.4372616
8849958437fffff,2020,10.386133,1.9410523
8849958437fffff,2021,11.025682,3.434125
8849958437fffff,2022,10.949904,3.4075456
8849958437fffff,2023,12.70736,1.3726932
8849958437fffff,2024,12.0231905,2.9296315
8849958439fffff,2016,12.377597,3.0770411
8849958439fffff,2017,14.008365,4.7646136
8849958439fffff,2018,10.446325,0.69206494
8849958439fffff,2019,12.885332,4.194519
8849958439fffff,2020,13.653041,3.9443586
8849958439fffff,2021,10.282133,3.570768
8849958439fffff,2022,9.380773,3.297669
8849958439fffff,2023,13.467413,3.881628
8849958439fffff,2024,14.020034,4.1925783
884995843bfffff,2016,12.762341,2.7059698
884995843bfffff,2017,14.602075,3.1297932
884995843bfffff,2018,13.779062,1.9867003
884995843bfffff,2019,14.130243,3.3332925
884995843bfffff,2020,13.164486,3.4186194
884995843bfffff,2021,10.248302,2.828459
884995843bfffff,2022,10.49058,3.0663977
884995843bfffff,2023,10.912012,4.8053102
884995843bfffff,2024,14.502136,3.1678236
884995843dfffff,2016,11.080935,4.701327
884995843dfffff,2017,14.310906,4.478169
884995843dfffff,2018,10.195361,0.5198133
884995843dfffff,2019,13.213368,4.198898
884995843dfffff,2020,9.665924,3.1341836
884995843dfffff,2021,12.757991,2.8760147
884995843dfffff,2022,10.708011,3.8637938
884995843dfffff,2023,10.818357,2.4646914
884995843dfffff,2024,11.11623,3.1471395
8849958441fffff,2016,13.747253,4.331717
8849958441fffff,2017,11.841131,4.8291397
8849958441fffff,2018,10.909678,4.5595856
8849958441fffff,2019,13.824067,3.7130432
8849958441fffff,2020,13.795458,4.5879636
8849958441fffff,2021,10.365024,1.2576258
8849958441fffff,2022,10.708484,2.219164
8849958441fffff,2023,11.504909,3.7240062
8849958441fffff,2024,12.520853,2.3593874
8849958443fffff,2016,12.372705,4.110753
8849958443fffff,2017,12.032354,4.3249645
8849958443fffff,2018,11.240295,3.4981925
8849958443fffff,2019,12.435484,4.1603518
8849958443fffff,2020,11.788869,4.3962097
8849958443fffff,2021,11.196673,2.9704933
8849958443fffff,2022,9.023189,3.1952684
8849958443fffff,2023,10.134655,1.4674497
8849958443fffff,2024,10.639815,2.807543
8849958445fffff,2016,11.364207,5.6704845
8849958445fffff,2017,14.107904,4.4401727
8849958445fffff,2018,12.380935,5.277091
8849958445fffff,2019,12.030912,4.382922
8849958445fffff,2020,12.657745,4.1916027
8849958445fffff,2021,10.216468,1.3964328
8849958445fffff,2022,9.013173,2.3627138
8849958445fffff,2023,11.172464,3.6321135
8849958445fffff,2024,11.916097,4.740569
8849958447fffff,2016,13.222763,3.6980047
8849958447fffff,2017,13.777746,4.387587
8849958447fffff,2018,9.873077,2.6332726
8849958447fffff,2019,13.686264,3.1216824
8849958447fffff,2020,14.165067,3.2359536
8849958447fffff,2021,9.467574,1.792432
8849958447fffff,2022,9.545218,2.227238
8849958447fffff,2023,9.135149,2.5931952
8849958447fffff,2024,10.940101,3.2248764
8849958449fffff,2016,11.615127,4.5038686
8849958449fffff,2017,13.187152,4.637517
8849958449fffff,2018,13.65749,4.4168963
8849958449fffff,2019,13.180322,3.4386628
8849958449fffff,2020,12.532448,4.213222
8849958449fffff,2021,11.003198,5.619499
8849958449fffff,2022,11.113673,2.6984084
8849958449fffff,2023,9.616887,2.4131715
8849958449fffff,2024,13.548251,4.7221036
884995844bfffff,2016,13.437218,4.743966
884995844bfffff,2017,12.32985,5.00183
884995844bfffff,2018,12.811889,4.0750933
884995844bfffff,2019,13.720599,4.2595897
884995844bfffff,2020,13.833195,4.0298963
884995844bfffff,2021,11.859707,3.286103
884995844bfffff,2022,13.043732,2.3008358
884995844bfffff,2023,10.208053,1.061413
884995844bfffff,2024,10.829884,3.3112407
8849958451fffff,2016,13.760618,0.18485978
8849958451fffff,2017,12.980173,2.9407082
8849958451fffff,2018,12.075236,1.3511786
8849958451fffff,2019,13.548128,1.5377126
8849958451fffff,2020,12.139775,1.1000599
8849958451fffff,2021,9.666014,3.9939392
8849958451fffff,2022,10.507771,1.3012747
8849958451fffff,2023,11.056088,2.9505787
8849958455fffff,2016,12.486701,1.8902026
8849958455fffff,2017,11.9955845,3.9553874
8849958455fffff,2018,9.733974,2.514231
8849958455fffff,2019,11.687487,1.5499523
8849958455fffff,2020,12.829918,1.368463
8849958455fffff,2021,11.942598,1.2859234
8849958455fffff,2022,11.357984,5.242031
8849958455fffff,2023,13.082809,2.441493
8849958455fffff,2024,13.11173,2.6243742
8849958457fffff,2016,11.502965,4.036703
8849958457fffff,2017,12.845786,4.429878
8849958457fffff,2018,10.101165,1.9023199
8849958457fffff,2019,14.276264,3.5734837
8849958457fffff,2020,12.108203,2.698751
8849958457fffff,2021,11.614294,3.873886
8849958457fffff,2022,10.957587,3.3861885
8849958457fffff,2023,12.486591,3.0299191
8849958457fffff,2024,13.354994,2.3945715
8849958459fffff,2018,13.855601,4.1771092
8849958459fffff,2019,11.310911,4.122113
8849958459fffff,2020,10.773184,4.240708
8849958459fffff,2022,9.677572,1.5078951
8849958459fffff,2023,9.714781,3.5396156
8849958459fffff,2024,10.93454,4.682879
884995845bfffff,2016,13.559829,4.9473615
884995845bfffff,2017,14.269019,3.614082
884995845bfffff,2018,13.620839,3.5480025
884995845bfffff,2019,10.877052,4.995905
884995845bfffff,2020,10.875176,4.702972
884995845bfffff,2021,9.75588,1.7217546
884995845bfffff,2022,11.38763,3.4988272
884995845bfffff,2023,11.447205,3.7573357
884995845bfffff,2024,10.70229,4.575439
884995845dfffff,2016,11.279778,5.4319024
884995845dfffff,2017,13.015298,5.1867027
884995845dfffff,2018,10.51783,4.572171
884995845dfffff,2019,10.038521,4.5270395
884995845dfffff,2020,11.360639,4.2792363
884995845dfffff,2021,9.672546,3.4660304
884995845dfffff,2022,11.601006,-0.2582838
884995845dfffff,2023,10.5419035,3.7942135
884995845dfffff,2024,11.272387,4.9031897
8849958461fffff,2017,13.227598,5.6213613
8849958461fffff,2018,12.716321,3.4816735
8849958461fffff,2019,13.367864,1.7068316
8849958461fffff,2020,10.507156,4.6365676
8849958461fffff,2021,12.883388,3.8889225
8849958461fffff,2024,13.93562,4.923556
8849958463fffff,2016,11.609656,-0.87198406
8849958463fffff,2017,11.826423,-0.75558406
8849958463fffff,2018,10.338731,1.0413071
8849958463fffff,2019,13.98746,3.4105153
8849958463fffff,2020,14.156068,4.191659
8849958463fffff,2021,12.300988,1.5458785
8849958463fffff,2022,11.226213,-1.3183875
8849958463fffff,2023,10.456107,2.1077607
8849958463fffff,2024,14.64679,4.5353017
8849958465fffff,2016,12.801698,4.3793817
8849958465fffff,2017,13.8029785,2.9459138
8849958465fffff,2018,11.149541,1.4562433
8849958465fffff,2019,11.811891,3.0198205
8849958465fffff,2020,13.966377,3.4347427
8849958465fffff,2021,12.712731,1.6756333
8849958465fffff,2022,12.379691,4.4210954
8849958467fffff,2016,11.544356,2.8017278
8849958467fffff,2017,13.721896,3.9163864
8849958467fffff,2018,9.699407,0.8651543
8849958467fffff,2019,13.362599,4.674276
8849958467fffff,2020,13.785465,3.5944471
8849958467fffff,2021,10.992757,0.48381445
8849958467fffff,2022,11.704361,-0.7500696
8849958467fffff,2023,11.939022,2.0463345
8849958467fffff,2024,13.201333,2.6004958
8849958469fffff,2018,11.254003,4.793919
8849958469fffff,2019,14.144836,3.6746244
8849958469fffff,2020,12.6969185,3.4498563
8849958469fffff,2021,11.123783,5.5158844
8849958469fffff,2022,10.343186,3.6079168
8849958469fffff,2024,11.471496,3.889119
884995846dfffff,2016,11.773677,3.8571088
884995846dfffff,2017,13.80412,3.4060185
884995846dfffff,2018,12.977171,3.5019581
884995846dfffff,2019,13.072194,4.685451
8849958481fffff,2016,12.515611,4.98118
8849958481fffff,2017,12.233879,5.4346247
