h3_8,año_hecho,pc_1,pc_2,pc_3,pc_4,pc_5,pc_6,pc_7,pc_8,pc_9,pc_10,pc_11,pc_12,pc_13,pc_14,pc_15,pc_16
8849958083fffff,2020,2.744762,3.030439,-2.7699199,0.48944184,0.9413323,-1.7951949,2.7419767,1.2321652,0.97592294,-1.2660704,-1.344397,-0.6452702,-0.470143,1.2145338,0.70198935,-0.59564036
8849958083fffff,2021,1.7605422,2.045177,0.6208699,0.5733797,-0.45725378,-0.9473742,0.07891566,-1.1396039,0.1952301,-1.2454566,0.33076462,-0.9978591,0.23407581,0.27310765,1.6841439,-1.6345832
8849958083fffff,2022,1.4741288,1.5480361,-0.1404124,0.68404126,0.1662797,-0.044883337,0.1325615,0.7100886,2.556488,0.8767658,-1.2083007,1.1467936,2.0881958,0.98192465,0.43407437,2.2352266
8849958083fffff,2024,1.2825781,-0.7393813,0.40128237,1.3325119,0.44194272,-0.98783463,-2.2852335,-1.1519918,-0.1006621,-1.3483164,-1.0510418,-0.44549194,-0.8359039,-1.1516165,0.6115933,-0.9493308
8849958087fffff,2016,1.5517918,-1.1425614,-0.95817417,-0.9530618,-0.046057228,1.2925563,1.2581999,0.31132957,-1.5666965,-0.4751189,-0.7245287,-0.85017675,0.6728658,-1.2969844,-0.06751471,0.5995407
8849958087fffff,2017,0.58103436,-1.3544005,-1.605073,-2.0265417,-1.3241025,-0.108944304,1.1094829,-0.876605,-0.9559041,-0.6002143,-0.6588328,1.0039788,0.80674773,0.94611895,0.4400744,0.09497731
8849958087fffff,2018,0.3882521,0.16921574,-0.1229628,-0.8797983,-0.9271211,-0.17515397,0.89009666,1.2335052,-0.59496856,0.5021564,-0.9855287,0.7544626,0.36561057,0.96350414,-0.24610212,0.20599172
8849958087fffff,2019,1.3046839,0.029383631,-1.2754194,-2.7542975,-1.2997972,-0.839278,1.4371172,-0.236419,-1.8459901,-0.03061916,0.5639944,1.3542572,-0.27279148,1.3709668,-0.36991602,0.43786487
8849958087fffff,2020,2.9118848,0.50882894,-1.8381605,2.4888346,-0.31372485,-1.2919647,-0.5051362,-0.10782205,-0.7120372,2.5328798,-0.99040437,-0.7313489,-0.7756846,0.32274204,0.7146748,-1.2018309
8849958087fffff,2021,1.2820046,-0.23791175,0.5217292,1.3396435,0.78325886,2.3119018,0.6819297,-0.27882692,0.5876794,0.32337558,1.4713548,2.6478179,-0.92985886,1.5774423,-1.9272037,0.95405245
8849958087fffff,2022,0.63311124,-0.52105266,-1.6976696,0.58648163,0.85426927,-0.15410958,-1.4860816,-0.067508265,1.0251096,-1.1930661,0.074029535,0.858084,1.9357954,-1.5712669,-0.32501766,0.3064907
8849958087fffff,2023,1.4318925,2.285449,-0.62250084,1.1239781,-0.28036404,-0.9805068,0.74627,-1.1184669,-2.0312586,0.36380938,-1.5506862,-0.13267085,1.3012577,-0.93541443,-0.63987267,1.828143
8849958087fffff,2024,3.2197986,1.3883235,-1.7033172,-0.91638947,-0.97595537,0.9740122,-1.8552934,-0.23098074,1.5498792,1.3640296,0.115621425,1.2495518,-1.7033883,-1.4930443,-0.008897495,0.55104923
884995808bfffff,2016,1.2908522,1.1196631,-0.5963439,0.560844,0.038680423,-1.2226517,-0.21644999,0.17347567,-1.2033085,-2.5678,1.3937325,1.2951425,1.5147612,0.2749543,1.4747229,0.11656012
884995808bfffff,2017,1.0292699,0.07092307,-0.6833543,-0.18769106,-2.728666,-1.4966632,1.5082157,-1.5800292,-2.299157,-1.6898851,1.3073543,2.7338912,0.03535083,3.6593828,0.23050916,-0.029411124
884995808bfffff,2018,-0.21227007,0.50417364,0.705535,-1.9008646,-0.7772902,-0.88215524,0.5713446,-0.2876062,0.12377383,-0.21316375,0.6071292,0.4574469,-0.69331926,1.8333836,-0.50805175,1.3801225
884995808bfffff,2019,1.3359054,0.9469402,-2.4260342,0.37256092,-1.4957801,0.94706845,1.1504695,0.7118371,1.5817517,0.87661976,-0.8884791,-0.91932446,-0.443862,1.5112753,-0.09063202,-0.27030072
884995808bfffff,2020,1.5334198,1.2244425,-1.0417168,0.17080005,-1.5677159,-0.73994464,0.26529598,-0.5205532,0.2319698,0.4801954,2.4832592,-1.3429426,-0.70481616,-1.2528157,1.3005304,-0.8822848
884995808bfffff,2021,1.1626704,-0.49845794,-1.3170873,1.7348204,0.60866314,0.5915834,1.669302,-0.9175475,0.43587577,-0.18799989,-0.75748074,1.4695117,-0.080105886,-0.8050921,-0.7058752,-0.13638055
884995808bfffff,2022,2.4415178,-0.057908215,-2.3020992,0.30710393,-1.7038429,1.0675951,0.17593394,-0.40495312,-0.15019242,-1.3606786,-0.6695536,2.1890144,1.138181,2.599283,-0.14987268,1.1149665
884995808bfffff,2023,1.6769179,2.7961032,-3.0945196,-1.9822081,0.08094925,-0.48083112,0.41234466,-0.6813328,1.6223466,0.01171019,0.4976329,-0.04965925,-0.04814709,-1.7083896,-1.3648076,0.3610313
8849958091fffff,2016,1.1517153,2.5045176,1.0932522,1.5286422,-0.8486108,0.15881245,0.5703259,-1.0189687,0.86349416,0.8379994,5.003708,-0.97972876,5.0910172,-1.6746358,3.45188,1.310068
8849958091fffff,2018,1.8508786,1.6023949,0.011327792,0.49665317,0.096830145,-0.49326456,-0.94044197,1.1040754,0.060543418,1.9057906,-3.3448613,-0.23839371,-0.020756103,0.88735247,0.2766249,-0.822518
8849958091fffff,2019,1.5018114,1.4507662,-1.7267176,-1.823162,3.7258658,-0.14794861,-0.037744924,3.8347795,0.19690044,-0.7694065,-2.098279,0.31790945,1.694504,-0.06567891,-0.7955149,0.0013848683
8849958091fffff,2020,0.8364416,1.9769034,0.24753039,0.11364354,-0.16717377,-0.06597498,1.9835004,1.9534352,-1.4972159,-1.7622923,-2.3121815,1.2436695,4.7896247,-1.9821025,3.3736103,-1.3882734
8849958091fffff,2021,2.2424788,2.3989933,-0.6406084,1.128276,-1.2241575,2.751206,2.533593,1.8638242,2.334564,0.39585766,1.4826107,-0.49111184,0.23915042,3.1157677,0.5737049,-0.38264155
8849958091fffff,2022,0.7128175,0.6266169,2.6842232,-0.31101304,-1.0738952,0.7151218,2.9126513,-0.5758541,5.1957855,-3.248781,-0.80508435,0.049636252,3.1543827,-0.16799994,0.7833169,1.6912547
8849958091fffff,2023,2.0551794,3.663583,-0.027270487,0.6079032,-0.0007469063,-0.63314867,2.1181724,-2.9488862,2.5583382,-0.22405013,3.0233,-0.11139118,-1.0503081,-1.7508571,0.8648603,0.46896443
8849958099fffff,2016,4.162142,3.6008213,-1.690534,0.6441176,0.8834459,-0.76674825,-0.69024277,-0.6754426,1.0722166,-1.7939289,-1.3127034,-0.7434634,-1.3929148,1.1662908,0.873772,0.50430834
8849958099fffff,2018,1.0517759,2.1375072,1.3660635,0.13679121,-2.2369165,-0.4641477,0.6124795,-1.1720053,0.44006774,0.7624742,-1.4085529,-1.7152777,1.4423608,2.0524516,1.2131592,0.7643994
8849958099fffff,2019,1.2845933,-1.3277516,-0.050491396,-2.6326191,-2.1508467,-2.176316,-2.0973315,-2.5273871,-0.78488857,1.0232203,-0.3098488,-1.1360619,-0.07703101,-0.6141278,-0.7493763,-0.75825316
8849958099fffff,2020,2.0278633,0.9496915,-1.6898279,0.5314259,1.0935851,0.6198952,0.7840933,0.44370744,0.42650118,0.22089142,0.9476191,0.22747797,0.89272267,0.70438886,-0.5027536,0.017960845
884995809dfffff,2017,-0.40193886,-0.7428165,1.5961379,2.4259593,0.79580325,-3.3758023,0.16322699,2.2183716,0.08293832,0.12748377,-2.3071325,0.1275189,-0.10897448,-1.4104137,0.41453362,-1.2455198
884995809dfffff,2018,0.53042203,0.6292819,0.179911,1.0553608,-0.15068606,-0.19046447,-1.2531646,1.560182,0.11102319,-0.7193981,-0.89245594,-0.4460368,-0.55755436,1.5161309,-0.07528404,-2.0468206
884995809dfffff,2019,-1.3432628,1.4812026,2.0697477,-1.8955953,1.5012416,-1.0721604,0.098571196,-1.3676155,1.5675093,-0.45692715,0.044473566,-0.52400887,-1.1989039,0.24797846,0.21099357,-0.70189255
884995809dfffff,2020,1.0303925,2.0262938,-1.2956485,1.8792844,0.4840301,-0.617071,-1.3422936,-1.5718751,0.6128408,-0.44886354,1.3767095,-0.92926484,-1.5505416,-0.035316445,0.06273744,-1.1459116
884995809dfffff,2021,-0.69050044,1.3397552,0.5655798,1.8757664,0.121878065,1.5073261,0.3834372,-0.60852116,-0.6466346,1.9943047,1.033813,1.9121356,-0.3934086,-0.44663545,-0.3975059,-2.0615754
884995809dfffff,2022,0.025277482,3.2357192,2.548611,-0.8997957,-0.54859835,1.2683775,1.2748013,0.008340056,-1.192618,-1.177394,-0.35831428,0.42449212,-0.6075568,-2.3397815,0.2561057,-1.5792558
884995809dfffff,2024,-0.25266215,3.2518713,0.6935739,3.5020947,0.0009870882,-1.3213854,-0.18923855,-0.7922226,-0.6322465,0.7963577,-1.3328581,-1.6036159,0.5019932,0.183918,-0.6081367,0.42709905
88499580a1fffff,2016,1.6502347,0.31569955,0.6101151,0.46351454,-0.871416,2.3412714,0.3029651,0.36191365,-1.7033024,-2.468176,-3.2473412,-0.58498937,1.2253964,-0.51392967,0.56922966,1.9444529
88499580a1fffff,2017,0.14858383,-1.1488895,0.8123158,0.7727497,-0.94892496,0.6345618,2.9556851,-0.686723,2.0631804,-0.30572218,0.34688815,-1.9408329,-1.0468026,0.16326143,-0.6038314,-0.39990118
88499580a1fffff,2018,-0.09112217,-0.08201747,0.48498115,1.2199948,0.69274837,-0.13339081,0.9346672,0.85924506,0.46756062,-0.09443031,-0.9133771,-1.3908426,-0.25758502,1.3427211,-0.64970386,-0.27983814
88499580a1fffff,2019,2.3376925,-0.9005136,-0.27099952,-0.41795835,0.5853008,-0.71770483,-0.81552017,-0.6291206,1.6496103,-1.5913076,0.7890221,-1.007535,1.028814,-0.31483516,0.24785376,1.0671476
88499580a1fffff,2020,1.6483676,1.2772274,0.74732304,1.7346693,-0.29844362,-0.041517917,-0.36222216,-1.3910648,1.9769756,-1.9941794,-0.95099986,0.7402083,0.9413781,-1.1346759,1.0151843,1.5074718
88499580a1fffff,2021,1.1261599,-0.051097274,2.8308907,0.98699707,-1.2427205,0.7283747,-0.0754929,0.36449763,0.023408437,0.059371103,-0.5276662,0.20316413,-1.2628123,-1.195428,-1.0561249,-0.15532584
88499580a1fffff,2022,0.73155797,-1.6329739,2.0940628,0.0004496504,0.8511347,-1.3791837,2.1565156,1.167527,1.4726405,0.385106,-0.19068672,-1.1843128,1.0500311,0.120790124,-0.20212641,0.3880852
88499580a5fffff,2018,0.1451801,-0.70345294,-1.106756,2.5962803,2.1390314,2.4160693,-0.55680686,-2.3564312,0.7713777,0.6358452,-0.8221407,0.6893599,0.08496903,1.2019109,-0.6066114,-0.7164151
88499580a5fffff,2019,0.16799012,2.322911,-0.96690565,0.3048113,0.30035028,-1.1263869,-0.3344001,0.7993122,1.399236,-1.02095,-1.7111224,-1.3003036,-0.07485086,2.424802,-0.8454202,-0.78593004
88499580a5fffff,2020,3.400709,-2.4056573,0.7589786,1.8765912,-0.12071019,-0.6420975,-1.5651774,-1.6559073,1.2471225,-3.607459,1.6990502,4.4191256,-3.3095183,-4.2311597,5.783419,-4.9217777
88499580a5fffff,2021,0.9869867,0.4448476,3.269572,1.4938048,1.265778,0.14468716,-1.4615923,0.42987937,2.3674777,-1.2730265,0.6707306,1.1202585,-1.1054597,0.23662338,1.6863098,-0.22113246
88499580a5fffff,2022,2.3710642,-0.70883906,-1.4313959,-0.84829926,1.8049006,0.14424841,-2.8437817,-0.82333475,1.8696489,-0.9977654,-1.8534964,0.2992626,0.28894466,-1.124176,-1.0902722,0.7710854
88499580abfffff,2016,3.178135,-1.5751168,0.82102716,-0.2389037,-1.8257786,-1.5129312,0.63232505,-0.07194432,1.4155041,-0.42564583,-1.9759501,-0.62583286,0.64636064,-1.5232906,1.7540762,-1.4536253
88499580abfffff,2017,2.0978196,1.2668332,0.18586846,1.1436951,-0.51800877,-2.0586262,-1.1078598,-0.10499927,-0.81913424,1.1052214,2.1397548,0.52007955,1.2354981,0.17945147,1.8443828,-0.734081
88499580abfffff,2018,2.5500195,0.2766803,-1.727223,-1.6627597,0.8769673,-0.37285256,-0.4299458,0.6876826,-0.140932,0.98150516,-0.35102308,-0.46499863,-0.636065,-1.4350626,1.1002301,-2.648161
88499580abfffff,2019,0.5618691,1.1402402,0.20581351,-0.3046052,-0.8919139,0.83555245,2.6906354,-1.0229235,0.8017691,-1.0038384,-1.6695137,-1.1476185,0.61451197,-2.169674,-1.1023295,0.2804862
88499580abfffff,2022,1.6440858,2.3211312,2.731817,-3.6432633,-1.4843013,0.9695495,-0.79190224,2.7698066,0.8606969,-0.26532558,4.514348,-1.865186,2.373323,-1.190371,4.5875144,3.7807722
88499580abfffff,2023,1.3745631,0.9571069,0.866389,0.9659165,0.7090476,-2.899676,-0.53994924,1.1224343,3.4737067,-0.8176155,-0.92085963,-1.6633873,-1.0810888,2.9452069,-1.7993711,-0.59895587
88499580abfffff,2024,3.913351,1.2640103,-0.5153461,-0.9101999,0.15640536,-0.5496352,-2.7712364,0.07446521,0.18837123,1.8322717,-0.36110526,0.15465723,-1.7185657,-1.8702688,0.7947439,-0.48051295
88499580b7fffff,2018,1.9736302,-0.21432027,-0.44748598,1.434012,0.567517,-1.3235139,-0.9352663,2.1199563,0.65517235,-2.4346726,0.5188506,-1.6393108,-0.44922346,1.1107986,-1.5946097,-1.6152469
88499580b7fffff,2020,-1.1631545,1.5295347,2.9841053,1.3251019,0.8309548,0.5122337,3.7150102,-0.5385469,0.4202385,-1.207293,-1.1082815,-1.9183352,0.3945967,0.8650753,-0.7239667,-0.6541565
88499580b7fffff,2021,3.4235866,-2.4354002,-0.17716889,-0.5312211,0.59974414,2.0843961,3.687672,-2.0604293,2.3475149,1.7664977,-0.12601532,-1.268466,1.4042835,0.6198692,1.2239321,0.5111127
88499580b7fffff,2022,0.2548182,-0.78283274,2.464516,1.7816983,0.5842246,0.98500794,0.9536987,-0.930547,-1.7219828,-2.624428,-1.3665819,-1.510794,1.0128282,-1.6192447,-0.47486004,0.2651414
88499580d3fffff,2016,2.3977227,0.3621139,-0.38139388,1.6857456,0.16485947,1.1339364,-0.9560488,0.30095914,-1.8718972,-0.9756658,0.57901794,-0.9097667,-0.14222458,1.0553344,-0.23593502,0.40853313
88499580d3fffff,2017,0.937387,-0.11112835,-0.63589764,0.12975466,0.28909403,-1.1075764,-1.1078928,0.87083626,-0.72469,0.32928863,-2.0923696,1.0283117,-0.24391067,-0.1285212,0.5084993,-0.5963865
88499580d3fffff,2018,0.45593458,-1.2071378,0.04736583,0.19459148,-0.019304125,-1.013353,1.1852328,0.06728158,0.26421013,0.5176068,-0.03166458,-0.5332623,-0.7619946,0.60867524,-0.48222435,-0.35553643
88499580d3fffff,2019,0.7388733,0.17893687,-0.674785,1.1038213,-1.3927658,-1.7933608,-0.28475073,0.7553728,0.62354773,0.6180796,0.018682351,-1.2164167,0.66290843,-0.23672831,-0.35998645,-0.2614419
88499580d3fffff,2020,1.213226,-0.78408676,1.401819,0.34763935,-0.21374746,0.6614396,-0.367084,-2.2086325,0.8092568,-0.3441395,-0.81439996,0.55051666,-0.87282306,0.49364996,0.5135918,-0.47047046
88499580d3fffff,2021,0.93096423,-0.08116871,0.24881837,0.36727688,-1.0405881,-1.7742844,-1.2735143,-2.0135977,-0.1466867,1.7015558,1.0844359,0.11731151,0.38988328,-0.77962506,-0.37019134,1.5384065
88499580d3fffff,2022,1.7046398,3.773617,1.3983887,0.06403212,-0.718021,-0.9717917,-1.5866051,0.6633302,-1.1770215,0.6899803,-0.53693753,-0.8189912,0.42651367,0.17334436,1.8480434,0.7815052
88499580d3fffff,2023,1.4259324,2.7535017,-2.5206137,1.2437681,-1.5659047,1.422435,0.23253313,2.68769,1.1499919,0.608182,-0.9761592,0.22867428,-0.27201077,1.2101594,-1.0034839,-0.5152339
88499580d3fffff,2024,2.010185,0.6326937,0.23047991,4.8800497,-2.23915,-1.3296043,-0.734885,-3.7300434,2.4953768,1.1846523,1.0275527,1.3802145,0.87449074,-0.8384349,-1.4223461,1.8385217
88499580d7fffff,2016,2.1119347,-1.516494,-1.301626,0.14210062,0.5139456,0.030881215,0.44367036,-1.1630557,-2.8745973,1.5424904,1.1093407,1.7632802,1.1178331,-0.6891888,1.4683001,-0.5775486
88499580d7fffff,2017,2.0765407,2.9997828,-2.4196014,-3.0213156,-1.8091905,-0.15112053,0.81840956,-0.4195207,-2.2573793,0.6038398,1.6166897,0.5547331,-0.060337655,-0.2673922,-1.0148171,0.5230287
88499580d7fffff,2018,-0.39154044,0.34504756,0.6393144,-1.5907369,-0.16448124,-1.178831,1.1384915,0.4141146,0.44911867,-1.6055726,0.245498,-0.85477036,1.3246368,-0.18265915,-0.28815013,-0.6167278
88499580d7fffff,2019,1.590223,-2.1351862,-1.8477663,-3.132379,-0.8384172,-2.1453173,0.87305856,1.7804201,0.44237417,0.2808587,-0.08465422,2.78373,1.4163612,1.248577,-1.6388589,-0.4419094
88499580d7fffff,2020,1.1434766,-1.5079122,0.3027372,-0.81016785,-0.3653908,-2.1381793,-0.29518637,-0.35473722,0.19865589,-0.7714051,-0.18943548,0.5189717,2.0950234,0.7875399,0.33647954,1.2416179
88499580d7fffff,2021,-0.3305431,2.018652,1.5097833,0.28053936,0.27915394,-2.4552686,-0.08363404,-0.13686906,-1.8535833,1.2517182,-0.47590172,0.5984951,0.16794619,0.48072848,-0.16957833,-0.80592406
88499580d7fffff,2022,2.1894279,0.66826504,-0.9185406,0.35765716,-1.9392184,0.46516755,-3.0910661,0.8790897,2.2886052,-0.7822117,1.7541844,0.78225404,2.4912117,0.57291275,1.4232109,0.7024071
