h3_8,año_hecho,z_1,z_2,z_3,z_4,z_5,z_6,z_7,z_8
88499580d7fffff,2018,0.69675654,-0.6979779,-0.6179627,-0.5991622,-0.07443236,1.0060147,-0.7192511,0.4469145
88499580d7fffff,2019,1.0975641,-1.7922217,-2.9937773,1.8334036,-1.0873259,0.33665162,-0.34016716,-1.2721584
88499580d7fffff,2020,0.3874582,-1.3068042,-1.8731729,0.04965592,-0.9040439,0.81853193,-1.626883,0.622847
88499580d7fffff,2021,1.8240081,-0.09276588,2.0343943,0.5556668,-2.1250749,-1.0198097,-0.21968223,0.01164266
88499580d7fffff,2022,-0.6278652,2.113049,-1.571463,-0.13354942,1.5770557,0.33803445,-3.0626333,1.820838
88499580d7fffff,2023,-0.78941464,1.7593591,0.013473784,0.741487,-0.6746105,-0.49430707,0.78874165,-0.44462666
88499580d7fffff,2024,-0.6136025,0.34323558,-1.0595689,-2.8523407,2.229593,-1.9661404,0.030125536,-0.102790095
88499580dbfffff,2017,0.9393755,-0.4229081,1.5359973,-2.083329,-1.5412141,-0.18137245,2.493486,-1.6953677
88499580dbfffff,2018,-0.16709588,0.8271089,0.27004725,1.1082088,-1.2228277,1.2549133,-1.366102,-0.21910624
88499580dbfffff,2019,1.0301929,0.40611213,2.627555,-1.0401956,-1.286396,2.4033182,-1.5617408,3.3972702
88499580dbfffff,2020,-0.4986718,-0.35457876,-0.4764058,-1.0823648,-1.1213477,1.9059504,-0.12899727,1.8115456
88499580dbfffff,2021,0.9753669,0.14260471,1.3200985,-0.54255223,-1.2274603,0.122762695,1.1781878,-0.40072107
88499580dbfffff,2022,0.48193517,0.22232929,1.2770072,-0.22507806,-1.4406494,0.87708515,2.4733863,-0.58867854
88499580dbfffff,2023,2.2804952,-1.2882873,1.3904356,0.6992118,-0.31039977,-2.6223516,-0.22958148,1.1444734
8849958115fffff,2020,-0.2366658,0.11217704,-0.941302,-0.44051382,-1.117748,2.3797605,0.23422267,-0.3002222
8849958115fffff,2022,-0.91239613,-0.034749534,-0.64731294,-1.4333177,0.43163806,0.5535211,-0.69770247,1.078522
8849958115fffff,2024,0.5683056,5.092502,-0.36868608,-1.134369,0.1356746,2.542003,0.21542692,-2.843576
884995813bfffff,2018,0.15032347,0.103748925,-0.64836204,-0.04034809,-0.49820897,0.85714114,2.6369731,0.23736833
884995813bfffff,2019,-0.47982088,1.7287793,2.276907,0.12966521,0.37293968,-0.53114325,1.905506,-0.38117638
884995813bfffff,2020,2.3078113,0.32052687,-0.85081583,-1.4811529,0.011222433,2.184404,-0.51365113,0.41007552
884995813bfffff,2021,-1.0745454,-1.3697783,0.6640738,-1.7917074,-1.5303606,-1.3862578,0.83030605,2.2232752
884995813bfffff,2023,-0.41962215,1.6934481,0.033189185,-0.40902424,-0.282394,-0.34742013,-0.64684886,-0.47010222
884995813bfffff,2024,1.3107586,1.0936478,-0.97951114,-1.4774044,1.0879245,-2.523464,0.24349475,-1.9902352
8849958183fffff,2016,-0.7942548,0.56750995,-0.8226132,-1.4256705,1.2107706,-0.7997094,3.4521275,-1.2841833
8849958183fffff,2018,0.47799426,0.01674057,-2.661592,-0.9596957,0.02567448,2.232648,-1.4385785,0.5675632
8849958183fffff,2019,-0.84531814,0.31322062,-0.25326154,0.4271849,-0.18804622,-0.6016479,-0.88620454,1.8933278
8849958183fffff,2020,0.64294773,1.225509,-0.3614818,-0.49506286,-0.57744044,-1.1116985,-0.41258,0.48919854
8849958183fffff,2023,0.83541316,0.9352308,0.6152016,-1.7472857,-1.9292231,-0.20871669,-0.88013005,2.0679095
8849958189fffff,2018,-1.107837,3.427335,0.12545732,1.1065855,0.7737855,-0.9936073,-0.05643564,0.20697854
8849958189fffff,2019,-0.2196659,0.45443866,-0.6188256,-0.4993205,-1.1046333,-0.45751616,-0.5742153,0.30785558
8849958189fffff,2020,0.67370933,-0.2890006,1.6255916,-2.646737,-0.08650365,-1.4115531,0.8316802,0.93408936
8849958189fffff,2021,0.8596045,1.3041656,-0.18998967,-1.0423142,0.8156374,0.4285331,-0.6856526,-0.7467914
8849958189fffff,2022,0.11084843,0.63877213,-0.2503584,0.6244511,0.7775493,-0.95366687,0.6888513,0.39175695
8849958189fffff,2023,0.38064116,3.5302222,1.484729,1.1244437,0.9616352,-2.223569,-1.5774845,-0.09800257
884995818bfffff,2016,0.25507876,-2.7141883,-0.7159552,-1.285372,-1.073639,-1.581811,-0.6225397,0.100141436
884995818bfffff,2017,-1.2940357,0.80988526,0.13788824,-0.16038917,0.10267405,-0.13338207,0.32674342,-0.5802831
884995818bfffff,2018,-0.47700605,-0.6925241,-0.9577998,-0.7311819,0.0894476,0.98612976,0.90873665,0.04285813
884995818bfffff,2019,-0.46873552,0.5043724,-0.14752766,-0.013839755,0.59592956,0.35623443,-1.7547896,0.8723584
884995818bfffff,2020,1.1288718,1.4349885,0.58812636,1.2825596,-0.6080102,-0.38330618,1.7343367,-1.1401272
884995818bfffff,2021,-0.4775368,0.2013316,-1.2894771,0.6274571,0.12933522,-1.0710403,0.44456944,-1.3954387
884995818bfffff,2022,-0.4603901,0.92738175,-2.3149366,0.32174218,0.27099672,0.685396,-1.4877583,-0.8189737
884995818bfffff,2023,0.79960144,2.1887887,-1.2564327,1.4957219,-0.37917635,-0.33668202,-1.5349859,-2.126207
884995818bfffff,2024,0.16542627,0.7931349,0.101745255,0.50479966,0.60485053,-0.78089154,-0.41235352,-0.7395718
8849958195fffff,2016,-0.4051426,0.29050726,-0.17342657,-1.1784569,-1.1319147,-1.834741,0.017153332,0.36965454
8849958195fffff,2017,0.9062235,-0.36490792,-1.4630461,1.0384343,-0.5441047,0.8718066,-0.5733878,-1.6191345
8849958195fffff,2018,0.07224743,-0.89893484,0.86578655,0.2633294,-0.7101901,-0.35844493,-0.61363393,0.1518995
8849958195fffff,2019,0.6545677,-0.63606364,-0.09129763,0.04632521,0.6826439,0.32771543,-0.8973382,0.3091696
8849958195fffff,2020,0.8073251,-0.79006296,-0.2720509,-0.22639664,-0.7329978,-0.4833086,-1.106658,0.5035983
8849958195fffff,2021,0.17458524,1.5373884,0.50336283,0.18020307,-0.6278392,-0.14816722,-1.1025888,-1.0752248
8849958195fffff,2022,0.16778812,0.5389735,-0.87047553,-0.55102235,1.1758026,0.8094289,-1.4302263,0.026927067
8849958195fffff,2023,1.6169958,-1.0841154,-0.2602685,0.7507694,-0.41275132,-0.22231393,-0.3874588,-1.8775412
