h3_8,año_hecho,cluster_km_ae,cluster_km_ae_cos,cluster_km_pca,cluster_km_raw,cluster_hdbscan
8849958415fffff,2024,0,2,4,1,28
8849958419fffff,2016,0,2,4,1,-1
8849958419fffff,2017,1,2,4,1,25
8849958419fffff,2018,3,1,0,0,56
8849958419fffff,2019,0,2,4,1,68
8849958419fffff,2020,0,2,4,1,-1
8849958419fffff,2021,0,1,4,1,47
8849958419fffff,2022,0,1,4,1,56
8849958419fffff,2023,2,3,4,1,34
8849958419fffff,2024,4,3,4,1,24
884995841bfffff,2016,3,1,4,1,56
884995841bfffff,2017,0,2,4,1,-1
884995841bfffff,2018,2,3,0,0,-1
884995841bfffff,2019,2,3,2,0,41
884995841bfffff,2020,4,2,4,2,-1
884995841bfffff,2021,0,2,4,1,-1
884995841bfffff,2022,2,3,0,0,34
884995841bfffff,2023,2,2,4,1,-1
884995841bfffff,2024,2,3,4,1,34
884995841dfffff,2016,0,2,4,1,6
884995841dfffff,2017,0,2,1,4,-1
884995841dfffff,2018,3,4,0,0,73
884995841dfffff,2019,0,2,1,4,38
884995841dfffff,2020,3,1,1,4,55
884995841dfffff,2021,1,0,1,4,0
884995841dfffff,2022,1,0,2,2,-1
884995841dfffff,2023,1,0,1,4,-1
884995841dfffff,2024,1,2,1,1,64
8849958421fffff,2016,0,2,4,1,73
8849958421fffff,2017,0,2,4,1,70
8849958421fffff,2018,1,3,0,0,-1
8849958421fffff,2019,0,2,4,1,-1
8849958421fffff,2020,0,2,4,1,49
8849958421fffff,2021,3,1,4,1,47
8849958421fffff,2022,0,2,4,1,68
8849958421fffff,2023,3,0,0,0,17
8849958421fffff,2024,0,2,4,1,68
8849958423fffff,2016,4,0,1,4,62
8849958423fffff,2017,0,2,4,1,60
8849958423fffff,2018,1,4,0,0,-1
8849958423fffff,2019,3,1,0,0,47
8849958423fffff,2020,0,2,4,1,-1
8849958423fffff,2021,3,1,0,0,-1
8849958423fffff,2022,3,0,1,4,20
8849958423fffff,2023,3,1,4,1,47
8849958423fffff,2024,3,0,0,4,20
8849958425fffff,2016,0,2,4,1,27
8849958425fffff,2017,4,0,2,2,13
8849958425fffff,2018,3,2,0,0,73
8849958425fffff,2019,2,3,4,1,-1
8849958425fffff,2020,0,2,4,1,24
8849958425fffff,2021,3,1,1,4,-1
8849958425fffff,2022,3,1,0,0,-1
8849958425fffff,2023,0,2,4,1,5
8849958425fffff,2024,0,2,4,1,16
8849958427fffff,2016,0,2,4,1,56
8849958427fffff,2017,3,1,2,2,60
8849958427fffff,2018,1,4,2,2,4
8849958427fffff,2019,0,2,4,1,-1
8849958427fffff,2020,0,1,4,1,27
8849958427fffff,2021,2,3,0,0,34
8849958427fffff,2022,3,3,0,0,-1
8849958427fffff,2023,2,3,2,0,-1
8849958427fffff,2024,0,2,4,1,70
8849958429fffff,2016,0,2,4,1,-1
8849958429fffff,2017,0,2,4,1,68
8849958429fffff,2018,2,3,0,0,54
8849958429fffff,2019,0,2,4,1,-1
8849958429fffff,2020,0,2,4,1,68
8849958429fffff,2021,4,0,2,2,14
8849958429fffff,2022,2,1,0,0,-1
8849958429fffff,2024,2,3,4,1,-1
884995842bfffff,2016,3,1,0,1,56
884995842bfffff,2017,2,3,4,1,32
884995842bfffff,2018,3,1,0,0,24
884995842bfffff,2019,3,0,0,0,52
884995842bfffff,2020,2,3,4,1,56
884995842bfffff,2021,3,4,0,0,43
884995842bfffff,2022,2,3,0,0,-1
884995842bfffff,2023,3,1,0,0,35
884995842bfffff,2024,3,0,0,0,26
884995842dfffff,2016,0,2,4,1,-1
884995842dfffff,2017,0,2,4,1,-1
884995842dfffff,2018,0,2,4,1,73
884995842dfffff,2019,4,0,1,4,12
884995842dfffff,2020,0,2,4,1,70
884995842dfffff,2021,0,2,4,1,69
884995842dfffff,2022,3,0,0,0,-1
884995842dfffff,2023,0,2,4,1,-1
884995842dfffff,2024,0,2,4,1,-1
8849958431fffff,2016,0,2,4,1,29
8849958431fffff,2017,0,1,4,1,57
8849958431fffff,2018,3,0,0,0,-1
8849958431fffff,2019,0,2,4,1,-1
8849958431fffff,2020,0,2,4,1,68
8849958431fffff,2021,3,3,0,0,61
