h3_8,cluster,lag,lisa_I,lisa_p,lisa_q,lisa_sig,year
884995b309fffff,0,0.0,1.5886468883679432,0.264,3,0,2024
884995b313fffff,1,1.5,0.11567828338925348,0.488,3,0,2024
884995b323fffff,3,0.0,-1.0663149472180062,0.002,4,1,2024
884995b325fffff,0,0.75,0.9249064294714558,0.112,3,0,2024
884995b327fffff,0,0.8,0.8806570655450233,0.088,3,0,2024
884995b335fffff,0,1.5,0.2611659705749685,0.486,3,0,2024
884995b33bfffff,1,0.0,-0.0,0.002,3,1,2024
884995b341fffff,0,0.6666666666666666,0.9986553693488434,0.092,3,0,2024
884995b345fffff,0,1.3333333333333333,0.4086638503297434,0.282,3,0,2024
884995b347fffff,0,0.0,1.5886468883679432,0.006,3,1,2024
884995b34dfffff,2,1.0,-0.08031549209409315,0.114,4,0,2024
884995b351fffff,0,0.0,-0.0,0.002,3,1,2024
884995b361fffff,0,1.25,0.48241279020713096,0.198,3,0,2024
884995b367fffff,3,0.0,-1.0663149472180062,0.002,4,1,2024
884995b369fffff,2,0.6666666666666666,-0.11398621762584756,0.012,4,1,2024
884995b36bfffff,0,0.5,1.1461532491036182,0.058,3,0,2024
884995b36dfffff,0,0.5,1.1461532491036182,0.058,3,0,2024
884995b801fffff,3,2.4999999999999996,0.4187148131750434,0.126,1,0,2024
884995b803fffff,0,2.0,-0.1813276686893564,0.34,2,0,2024
884995b805fffff,3,1.6666666666666665,-0.07629510695597322,0.362,4,0,2024
884995b807fffff,4,2.1666666666666665,0.4038896429782261,0.284,1,0,2024
884995b809fffff,4,3.166666666666666,1.4909012746974024,0.012,1,1,2024
884995b80bfffff,1,2.0,-0.08031549209409311,0.39,2,0,2024
884995b80dfffff,3,2.833333333333333,0.6167187812274499,0.054,1,0,2024
884995b811fffff,1,0.5,0.5076658343559467,0.062,3,0,2024
884995b815fffff,0,1.2,0.5266621541335634,0.182,3,0,2024
884995b819fffff,0,0.9999999999999999,0.7036596098392933,0.112,3,0,2024
884995b81bfffff,1,1.6,0.07647952829258416,0.37,3,0,2024
884995b81dfffff,1,0.3333333333333333,0.5729970928503956,0.006,3,1,2024
884995b821fffff,2,0.8333333333333333,-0.09715085485997034,0.046,4,1,2024
884995b823fffff,1,2.1666666666666665,-0.14564675058854198,0.22,2,0,2024
884995b825fffff,3,1.1666666666666665,-0.3733010590345831,0.12,4,0,2024
884995b827fffff,1,2.1666666666666665,-0.14564675058854198,0.222,2,0,2024
884995b829fffff,0,1.1666666666666665,0.5561617300845184,0.174,3,0,2024
884995b82bfffff,0,2.333333333333333,-0.47632342819890633,0.18,2,0,2024
884995b82dfffff,0,1.9999999999999998,-0.1813276686893564,0.33,2,0,2024
884995b831fffff,4,2.5,0.7662268535512851,0.092,1,0,2024
884995b833fffff,4,2.0,0.22272103769169674,0.324,1,0,2024
884995b835fffff,3,2.6666666666666665,0.5177167972012467,0.062,1,0,2024
884995b837fffff,0,3.0,-1.0663149472180062,0.014,2,1,2024
884995b839fffff,3,2.1666666666666665,0.22071084512263675,0.28,1,0,2024
884995b83bfffff,1,2.6,-0.3155080226741091,0.07,2,0,2024
884995b83dfffff,4,2.5,0.7662268535512851,0.09,1,0,2024
884995b841fffff,4,3.8333333333333326,2.21557569584352,0.002,1,1,2024
884995b843fffff,4,3.9999999999999996,2.3967443011300493,0.002,1,1,2024
884995b845fffff,3,3.1666666666666665,0.8147227492798566,0.01,1,1,2024
884995b847fffff,4,3.4999999999999996,1.853238485270461,0.002,1,1,2024
884995b849fffff,4,3.333333333333333,1.672069879983932,0.004,1,1,2024
884995b84bfffff,4,2.6666666666666665,0.9473954588378142,0.09,1,0,2024
884995b84dfffff,4,3.8333333333333326,2.21557569584352,0.002,1,1,2024
884995b851fffff,1,2.3333333333333335,-0.21097800908299083,0.176,2,0,2024
884995b853fffff,2,1.5,-0.029809403796461485,0.286,4,0,2024
884995b855fffff,4,2.3333333333333335,0.5850582482647556,0.15,1,0,2024
884995b857fffff,0,1.5,0.26116597057496843,0.362,3,0,2024
884995b859fffff,1,2.1666666666666665,-0.14564675058854198,0.222,2,0,2024
884995b85bfffff,3,1.8333333333333333,0.022706877070230152,0.44,1,0,2024
884995b85dfffff,4,2.333333333333333,0.5850582482647556,0.148,1,0,2024
884995b861fffff,0,1.6666666666666665,0.11366809082019355,0.37,3,0,2024
884995b863fffff,0,1.8333333333333333,-0.033829788934581446,0.46,2,0,2024
884995b865fffff,2,1.6666666666666665,-0.012974041030584273,0.37,4,0,2024
884995b867fffff,2,0.5,-0.13082158039172478,0.008,4,1,2024
884995b869fffff,0,2.1666666666666665,-0.32882554844413137,0.222,2,0,2024
884995b86bfffff,3,1.6666666666666665,-0.07629510695597322,0.362,4,0,2024
884995b86dfffff,3,1.3333333333333333,-0.27429907500837974,0.218,4,0,2024
884995b889fffff,3,1.75,-0.026794114942871497,0.442,4,0,2024
884995b88dfffff,3,2.0,0.12170886109643349,0.34,1,0,2024
884995b899fffff,4,3.333333333333333,1.6720698799839318,0.036,1,1,2024
884995b89dfffff,2,4.0,0.22272103769169674,0.002,1,1,2024
884995b8a1fffff,4,2.6666666666666665,0.9473954588378142,0.208,1,0,2024
884995b8a3fffff,2,2.8000000000000003,0.1015064257773808,0.056,1,0,2024
884995b8a7fffff,2,2.4,0.061101555139275475,0.134,1,0,2024
884995b8abfffff,4,2.6666666666666665,0.9473954588378142,0.208,1,0,2024
884995b8bdfffff,2,3.0,0.12170886109643345,0.098,1,0,2024
884995b8c1fffff,1,1.6666666666666665,0.05034702489480461,0.448,3,0,2024
884995b8c3fffff,1,1.3333333333333333,0.18100954188370233,0.262,3,0,2024
884995b8c5fffff,1,2.0,-0.08031549209409312,0.32,2,0,2024
884995b8c7fffff,1,1.8,-0.00191798190075449,0.484,2,0,2024
884995b8c9fffff,3,1.6666666666666665,-0.07629510695597318,0.37,4,0,2024
884995b8cbfffff,0,1.5,0.2611659705749684,0.358,3,0,2024
884995b8cdfffff,4,1.6,-0.21208361499597378,0.374,4,0,2024
884995b8d1fffff,3,2.0,0.12170886109643345,0.378,1,0,2024
884995b8d3fffff,4,3.0,1.309732669410873,0.064,1,0,2024
884995b8d5fffff,2,2.4000000000000004,0.06110155513927549,0.13,1,0,2024
884995b8d7fffff,4,3.0000000000000004,1.309732669410873,0.042,1,1,2024
884995b8d9fffff,0,1.3333333333333333,0.4086638503297433,0.276,3,0,2024
884995b8dbfffff,1,2.0,-0.08031549209409314,0.31,2,0,2024
884995b8ddfffff,1,1.1666666666666667,0.2463408003781512,0.194,3,0,2024
884995b8e5fffff,4,2.6,0.8749280167232025,0.118,1,0,2024
884995b8e7fffff,2,4.0,0.22272103769169674,0.002,1,1,2024
884995b8edfffff,2,3.0,0.12170886109643345,0.058,1,0,2024
884995b903fffff,4,1.25,-0.5925376860976855,0.198,4,0,2024
884995b905fffff,1,2.4000000000000004,-0.23711051248077042,0.13,2,0,2024
884995b907fffff,0,2.4,-0.5353225801008163,0.13,2,0,2024
884995b909fffff,3,3.0,0.7157207652536534,0.056,1,0,2024
884995b90dfffff,4,1.8,0.005318711347861447,0.47,1,0,2024
884995b911fffff,2,1.833333333333333,0.003861321735292945,0.44,1,0,2024
884995b913fffff,4,1.833333333333333,0.04155243240516731,0.5,1,0,2024
884995b915fffff,1,2.5,-0.27630926757743973,0.084,2,0,2024
884995b917fffff,2,1.6666666666666667,-0.012974041030584263,0.468,4,0,2024
884995b919fffff,0,2.1666666666666665,-0.3288255484441313,0.28,2,0,2024
884995b91bfffff,0,2.333333333333333,-0.47632342819890633,0.176,2,0,2024
884995b91dfffff,4,1.4000000000000001,-0.4294859413398091,0.228,4,0,2024
884995b929fffff,4,1.6666666666666665,-0.13961617288136208,0.404,4,0,2024
884995b92bfffff,4,2.0,0.2227210376916968,0.302,1,0,2024
884995b931fffff,1,2.2,-0.1587130022874318,0.198,2,0,2024
884995b933fffff,3,1.3333333333333333,-0.2742990750083798,0.212,4,0,2024
884995b937fffff,2,2.0,0.020696684501170157,0.436,1,0,2024
884995b939fffff,0,1.9999999999999998,-0.18132766868935646,0.294,2,0,2024
884995b93bfffff,3,1.1666666666666665,-0.3733010590345831,0.124,4,0,2024
884995b93dfffff,3,1.25,-0.3238000670214815,0.186,4,0,2024
884995b941fffff,0,2.6666666666666665,-0.7713191877084562,0.148,2,0,2024
884995b943fffff,4,1.4999999999999998,-0.32078477816789147,0.28,4,0,2024
884995b947fffff,4,2.4000000000000004,0.6575256903793673,0.188,1,0,2024
